concept,amount,date,category,mode
restaurant,93.95,07/19/20,recreation,credit
farmers market,30.26,07/20/20,food,credit
farmers market,23,07/21/20,food,credit
groceries,208.47,07/21/20,food,credit
retailer,58.35,07/22/20,personal,credit
retailer,5.69,07/24/20,housing,credit
retailer,62.98,07/27/20,gifts,credit
retailer,28.51,07/27/20,personal,credit
groceries,139.26,07/28/20,food,credit
groceries,14.97,07/30/20,food,credit
mail,92.66,07/31/20,gifts,credit
retailer,12.07,07/31/20,personal,credit
rent,1694.95,08/03/20,housing,debit
internet,44.95,08/05/20,utilities,credit
cell phone,53.14,08/13/19,utilities,credit
life insurance,69.78,08/13/20,insurance,debit
life insurance,95,08/10/20,insurance,debit
energy,12.26,08/11/20,utilities,debit
cash transfer,140,08/13/20,housing,debit
retailer,89,08/01/20,gifts,credit
groceries,26.45,08/01/20,food,credit
groceries,195.1,08/03/20,food,credit
groceries,33.17,08/05/20,food,credit
retailer,32.73,08/05/20,housing,credit
restaurant,9.7,08/07/20,recreation,credit
restaurant,26.45,08/08/20,recreation,credit
restaurant,15.77,08/08/20,recreation,credit
groceries,106.87,08/10/20,food,credit
farmers market,10,08/11/20,food,credit
restaurant,53.86,08/11/20,recreation,credit
retailer,54.61,08/11/20,recreation,credit
retailer,5.39,08/12/20,healthcare,credit
groceries,17.37,08/12/20,food,credit
retailer,39.3,08/12/20,personal,credit
retailer,109.25,08/13/20,personal,credit
restaurant,6,08/13/20,food,credit
parking permit,66,08/12/20,transportation,credit
restaurant,9.7,08/14/20,recreation,credit
retailer,23.76,08/14/20,housing,credit
groceries,3.5,08/14/20,food,credit
groceries,68.58,08/15/20,recreation,credit
retailer,26.46,08/15/20,housing,credit
retailer,16.38,08/15/20,housing,credit
retailer,41.14,08/16/20,housing,credit
groceries,7.84,08/16/20,food,credit
retailer,32.78,08/17/20,personal,credit
home insurance,12.34,08/18/20,insurance,credit
farmers market,2.75,08/18/20,food,credit
restaurant,50.08,08/20/20,recreation,credit
retailer,151.32,08/21/20,housing,credit
groceries,118.68,08/22/20,food,credit
restaurant,12.75,08/22/20,recreation,credit
retailer,180.24,08/22/20,housing,credit
restaurant,26.31,08/23/20,recreation,credit
restaurant,211.22,08/25/20,recreation,credit
cash transfer,10,08/27/20,personal,debit
groceries,5.99,08/28/20,food,credit
groceries,85.19,08/29/20,food,credit
groceries,258.32,08/30/20,food,credit
retailer,7.09,08/31/20,personal,credit
rent,1694.95,09/03/20,housing,debit
internet,44.95,09/05/20,utilities,credit
cell phone,54.49,09/13/19,utilities,credit
life insurance,69.78,09/13/20,insurance,debit
life insurance,95,09/10/20,insurance,debit
energy,65,09/02/20,utilities,credit
cash transfer,140,08/23/20,housing,debit
groceries,258.32,08/30/20,food,credit
parking,10,09/01/20,transportation,credit
retailer,141.99,09/02/20,personal,credit
restaurant,31.46,09/02/20,recreation,credit
farmers market,441.83,08/31/20,food,credit
groceries,11.38,09/05/20,food,credit
groceries,28.35,09/06/20,food,credit
restaurant,41.49,09/06/20,food,credit
farmers market,12.26,09/08/20,food,credit
parking,5,09/08/20,transportation,credit
parking,5,09/08/20,transportation,credit
groceries,174.2,09/10/20,food,credit
cash transfer,50.43,09/10/20,housing,debit
cash transfer,85,09/15/20,gifts,debit
home insurance,12.34,09/18/20,insurance,credit
retailer,87.5,09/21/20,personal,credit
groceries,162.86,09/22/20,food,credit
restaurant,8,09/23/20,recreation,credit
cash transfer,42.05,09/23/20,gifts,debit
restaurant,15.44,09/23/20,recreation,credit
subscription,10,09/24/20,personal,credit
restaurant,83.66,09/26/20,recreation,credit
retailer,57.46,09/27/20,personal,credit
groceries,140.33,09/28/20,food,credit
rent,1694.95,10/03/20,housing,debit
internet,44.95,10/05/20,utilities,credit
cell phone,54.18,10/13/19,utilities,credit
life insurance,69.78,10/13/20,insurance,debit
life insurance,95,10/10/20,insurance,debit
energy,44.89,10/01/20,utilities,credit
cash transfer,140,10/10/20,housing,debit
retailer,199.15,10/01/20,housing,credit
retailer,81.21,10/02/20,housing,credit
subscription,24.99,10/03/20,healthcare,credit
streaming,9.99,10/03/20,personal,credit
groceries,193.69,10/05/20,food,credit
groceries,12,10/06/20,food,credit
doctor appt,101,10/06/20,healthcare,credit
parking,5,10/07/20,transportation,credit
parking,20,10/08/20,transportation,credit
restaurant,95.95,10/09/20,gifts,credit
restaurant,85.33,10/09/20,gifts,credit
gas station,36.4,10/09/20,transportation,credit
subscription,84.48,10/09/20,personal,credit
subscription,63.96,10/09/20,personal,credit
retailer,82.62,10/12/20,food,credit
groceries,47.98,10/16/20,food,credit
public transit,19.15,10/18/20,transportation,credit
trip expenses,1487,10/18/20,vacations,credit
farmers market,6.8,10/20/20,food,credit
groceries,12,10/20/20,food,credit
retailer,41.49,10/21/20,recreation,credit
restaurant,35.65,10/22/20,recreation,credit
groceries,10.37,10/26/20,food,credit
groceries,17.9,10/27/20,food,credit
parking,4,10/27/20,transportation,credit
retailer,5.35,10/27/20,personal,credit
groceries,8,10/27/20,personal,credit
trip expenses,387.83,10/29/20,vacations,credit
retailer,186.79,10/30/20,gifts,credit
rent,1694.95,11/03/20,housing,debit
internet,44.95,11/04/20,utilities,credit
cell phone,50.01,11/13/19,utilities,credit
life insurance,69.78,11/13/20,insurance,debit
life insurance,95,11/10/20,insurance,debit
home insurance,12.34,11/19/20,insurance,credit
energy,53.89,11/27/20,utilities,credit
gas station,22.9,11/01/20,transportation,credit
retailer,59.01,11/02/20,personal,credit
parking,10,11/03/20,transportation,credit
groceries,3.82,11/04/20,food,credit
groceries,11.56,11/07/20,food,credit
retailer,166.11,11/07/20,personal,credit
groceries,50.41,11/09/20,food,credit
groceries,73.99,11/09/20,food,credit
cash withdrawal,365.37,11/13/20,personal,debit
retailer,6857,11/14/20,housing,credit
retailer,424.93,11/25/20,utilities,credit
rent,1694.95,12/03/20,housing,debit
internet,44.95,12/04/20,utilities,credit
cell phone,89.19,12/13/19,utilities,credit
life insurance,69.78,12/13/20,insurance,debit
life insurance,95,12/10/20,insurance,debit
home insurance,12.34,12/19/20,insurance,credit
subscription,24.99,12/03/20,healthcare,credit
streaming,9.99,12/03/20,housing,credit
restaurant,3.66,12/03/20,recreation,credit
restaurant,1.77,12/03/20,recreation,credit
retailer,9.53,12/05/20,personal,credit
entertainment,34.86,12/08/20,recreation,credit
groceries,88.56,12/08/20,food,credit
restaurant,11.75,12/12/20,recreation,credit
retailer,193.04,12/10/20,housing,credit
groceries,251.92,12/20/20,food,credit
groceries,892.8,12/23/20,gifts,credit
retailer,155.81,12/29/20,housing,credit
energy,103.79,12/29/20,utilities,debit
groceries,87.7,12/30/20,food,credit
rent,1694.95,01/01/21,housing,debit
internet,44.95,01/04/21,utilities,credit
cell phone,279.16,01/13/21,utilities,credit
life insurance,69.78,01/13/21,insurance,debit
life insurance,95,01/10/21,insurance,debit
home insurance,12.34,01/19/21,insurance,credit
energy,119,01/28/21,utilities,credit
streaming,9.99,01/03/21,housing,credit
subscription,24.99,01/03/21,healthcare,credit
car insurance,400,01/04/21,insurance,credit
tolls,25,01/02/21,transportation,credit
restaurant,27.09,01/04/21,recreation,credit
retailer,70.5,01/07/21,personal,credit
trip expenses,69.56,01/08/21,vacations,credit
trip expenses,69.56,01/08/21,vacations,credit
retailer,19.99,01/08/21,personal,credit
restaurant,35.74,01/09/21,recreation,credit
cash withdrawal,319.72,01/11/21,healthcare,debit
restaurant,19.18,01/12/21,recreation,credit
cell phone,279.16,01/13/21,utilities,credit
groceries,400,01/14/21,food,credit
rent,1710.95,02/04/21,housing,debit
internet,44.95,02/05/21,utilities,credit
cell phone,69.48,02/13/21,utilities,credit
life insurance,69.78,02/11/21,insurance,debit
life insurance,95,02/04/21,insurance,debit
home insurance,12.26,02/22/21,insurance,credit
energy,91.54,02/28/21,utilities,credit
farmers market,888,02/02/21,food,credit
retailer,1203.51,02/04/21,housing,credit
retailer,1826.86,02/04/21,housing,credit
cash transfer,300,02/07/21,personal,debit
restaurant,12.16,02/09/21,recreation,credit
trip expenses,110.03,02/11/21,vacations,credit
trip expenses,110.03,02/11/21,vacations,credit
public transit,8.99,02/11/21,transportation,credit
public transit,13.06,02/13/21,transportation,credit
retailer,81.93,02/17/21,housing,credit
rent,1710.95,03/04/21,housing,debit
internet,72.95,03/05/21,utilities,credit
internet,49.99,03/02/21,utilities,credit
cell phone,58.12,03/13/21,utilities,credit
life insurance,69.78,03/11/21,insurance,debit
life insurance,95,03/04/21,insurance,debit
home insurance,20.34,03/18/21,insurance,credit
energy,48.55,03/20/21,utilities,credit
services,95,03/01/21,personal,debit
restaurant,120.7,03/03/21,recreation,credit
retailer,38.72,03/08/21,personal,credit
retailer,94.13,03/09/21,personal,credit
trip expenses,314.09,03/11/21,vacations,credit
groceries,26.95,03/03/21,food,credit
groceries,23.05,03/06/21,food,credit
groceries,24.49,03/11/21,food,credit
public transit,10.1,03/13/21,transportation,credit
farmers market,15.44,03/13/21,transportation,credit
retailer,451.56,03/13/21,housing,credit
groceries,15.37,03/13/21,food,credit
restaurant,56.59,03/14/21,recreation,credit
groceries,145.91,03/14/21,food,credit
retailer,53.71,03/14/21,personal,credit
internet,12.19,03/14/21,utilities,credit
retailer,98.22,03/14/21,personal,credit
groceries,47.2,03/20/21,food,credit
groceries,57.56,03/18/21,food,credit
groceries,244.6,03/20/21,food,credit
retailer,100,03/21/21,gifts,credit
retailer,40.12,03/21/21,housing,credit
retailer,3.4,03/22/21,personal,credit
restaurant,2.19,03/22/21,recreation,credit
groceries,12,03/23/21,food,credit
retailer,73.18,03/23/21,personal,credit
retailer,93.87,03/23/21,personal,credit
retailer,104.88,03/23/21,personal,credit
retailer,99.22,03/23/21,personal,credit
parking,2.25,03/24/21,transportation,credit
parking,4,03/24/21,transportation,credit
restaurant,23.87,03/24/21,recreation,credit
public transit,2,03/26/21,transportation,credit
restaurant,55,03/26/21,recreation,credit
restaurant,20,03/26/21,recreation,credit
restaurant,57.9,03/26/21,recreation,credit
groceries,90.11,03/27/21,food,credit
farmers market,18,03/29/21,food,credit
trip expenses,52.4,03/29/21,recreation,credit
trip expenses,8.03,03/30/21,recreation,credit
rent,1710.95,04/04/21,housing,debit
internet,62.18,04/02/21,utilities,credit
cell phone,62.13,04/13/21,utilities,credit
life insurance,69.78,04/11/21,insurance,debit
life insurance,95,04/04/21,insurance,debit
home insurance,20.34,04/18/21,insurance,credit
energy,19.54,04/28/21,utilities,credit
groceries,11.98,04/02/21,food,credit
groceries,122.24,04/02/21,food,credit
groceries,37.18,04/08/21,food,credit
retailer,10.03,04/08/21,personal,credit
retailer,280.2,04/08/21,housing,credit
restaurant,17.17,04/08/21,recreation,credit
groceries,37.36,04/08/21,food,credit
retailer,17.79,04/08/21,housing,credit
retailer,173.68,04/09/21,housing,credit
groceries,5.49,04/10/21,food,credit
retailer,132.05,04/11/21,housing,credit
retailer,108.16,04/11/21,housing,credit
groceries,17.97,04/12/21,food,credit
groceries,24.75,04/12/21,food,credit
groceries,67.26,04/15/21,gifts,credit
groceries,40.74,04/15/21,food,credit
retailer,9.99,04/16/21,personal,credit
restaurant,62.15,04/16/21,personal,credit
groceries,53.77,04/19/21,food,credit
retailer,31.78,04/19/21,housing,credit
groceries,161.12,04/19/21,food,credit
restaurant,30,04/19/21,food,credit
trip expenses,300,04/20/21,personal,credit
trip expenses,4.35,04/20/21,personal,credit
retailer,42.59,04/21/21,personal,credit
retailer,109.24,04/21/21,housing,credit
restaurant,11.47,04/21/21,recreation,credit
restaurant,4.75,04/21/21,recreation,credit
retailer,114.51,04/21/21,housing,credit
subscription,29.99,04/22/21,personal,credit
trip expenses,763.23,04/24/21,vacations,credit
groceries,51.11,04/24/21,food,credit
groceries,36.21,04/28/21,food,credit
retailer,13,04/29/21,personal,credit
rent,1710.95,05/04/21,housing,debit
internet,62.29,05/02/21,utilities,credit
cell phone,60.42,05/13/21,utilities,credit
life insurance,69.78,05/11/21,insurance,debit
life insurance,95,05/04/21,insurance,debit
home insurance,20.34,05/18/21,insurance,credit
subscription,34.95,05/01/21,healthcare,credit
retailer,11.84,05/01/21,personal,credit
groceries,159.67,05/01/21,food,credit
retailer,54.61,05/01/21,personal,credit
trip expenses,760.44,05/02/21,vacations,credit
trip expenses,116,05/02/21,vacations,credit
streaming,9.99,05/02/21,utilities,credit
subscription,24.99,05/03/21,healthcare,credit
retailer,21.28,05/03/21,personal,credit
retailer,54.46,05/04/21,housing,credit
parking ,66,05/06/21,transportation,credit
groceries,13.27,05/06/21,food,credit
retailer,30.54,05/04/21,personal,credit
trip expenses,135.77,05/07/21,vacations,credit
bike maintenance,218.9,05/11/21,transportation,credit
farmers market,10,05/13/21,food,credit
farmers market,8.75,05/13/21,food,credit
retailer,114,05/13/21,personal,credit
groceries,12.37,05/14/21,food,credit
services,168,05/14/21,transportation,credit
restaurant,55.48,05/14/21,recreation,credit
groceries,61.32,05/17/21,food,credit
groceries,16.65,05/17/21,food,credit
car maintenance,575.42,05/19/21,transportation,credit
groceries,69.98,05/20/21,food,credit
trip expenses,657,05/20/21,vacations,credit
restaurant,6,05/21/21,recreation,credit
restaurant,28.21,05/24/21,recreation,credit
restaurant,4.5,05/24/21,recreation,credit
restaurant,33.96,05/24/21,gifts,credit
groceries,17.68,05/25/21,food,credit
groceries,30.65,05/26/21,gifts,credit
gas station,48.24,05/26/21,transportation,credit
retailer,80.18,05/27/21,personal,credit
trip expenses,77.56,05/28/21,vacations,credit
groceries,32.58,05/28/21,food,credit
trip expenses,405,05/28/21,personal,credit
retailer,89.82,05/29/21,gifts,credit
rent,1710.95,06/04/21,housing,debit
internet,62.2,06/02/21,utilities,credit
cell phone,9.9,06/04/21,utilities,credit
cell phone,61.62,06/14/21,utilities,credit
life insurance,69.78,06/11/21,insurance,debit
life insurance,95,06/04/21,insurance,debit
home insurance,20.34,06/18/21,insurance,credit
energy,50.86,06/29/21,utilities,credit
subscription,34.95,05/01/21,healthcare,credit
public transit,20,06/01/21,transportation,credit
restaurant,13.33,06/01/21,recreation,credit
retailer,20.75,06/01/21,personal,credit
retailer,22.93,06/04/21,personal,credit
groceries,432.04,06/07/21,food,credit
trip expenses,45.28,06/10/21,vacations,credit
trip expenses,56.69,06/14/21,vacations,credit
trip expenses,8.28,06/23/21,vacations,credit
trip expenses,17.93,06/24/21,vacations,credit
trip expenses,38.94,06/25/21,vacations,credit
restaurant,12.4,06/28/21,recreation,credit
retailer,30.15,06/28/21,personal,credit
restaurant,31.83,06/28/21,recreation,credit
rent,1710.95,07/04/21,housing,debit
internet,62.2,07/02/21,utilities,credit
streaming,9.9,07/04/21,housing,credit
cell phone,75.31,07/13/21,utilities,credit
life insurance,69.78,07/11/21,insurance,debit
life insurance,95,07/04/21,insurance,debit
home insurance,20.34,07/18/21,insurance,credit
subscription,24.99,07/04/21,healthcare,credit
energy,26.92,07/29/21,utilities,credit
retailer,16.23,07/02/21,personal,credit
groceries,5.49,07/02/21,food,credit
groceries,127.09,07/02/21,food,credit
retailer,2.29,07/03/21,personal,credit
groceries,208.75,07/06/21,food,credit
farmers market,17,07/07/21,food,credit
restaurant,18,07/08/21,recreation,credit
groceries,84.55,07/08/21,food,credit
trip expenses,50.58,07/08/21,personal,credit
restaurant,140,07/09/21,recreation,credit
car insurance,381.88,07/09/21,insurance,credit
groceries,84.55,07/11/21,food,credit
restaurant,55,07/10/21,recreation,credit
restaurant,48.05,07/10/21,recreation,credit
groceries,75.87,07/11/21,food,credit
retailer,136,07/03/21,gifts,credit
groceries,15.09,07/14/21,food,credit
retailer,74.29,07/15/21,personal,credit
retailer,79.44,07/15/21,personal,credit
groceries,65.03,07/16/21,food,credit
groceries,16.02,07/17/21,recreation,credit
retailer,5.99,07/18/21,recreation,credit
restaurant,14,07/19/21,recreation,credit
mail,20.95,07/20/21,personal,credit
groceries,193.59,07/20/21,food,credit
streaming,9.99,07/20/21,housing,credit
retailer,33.05,07/23/21,food,credit
groceries,5,07/26/21,food,credit
trip expenses,956.54,07/26/21,vacations,credit
groceries,17.02,07/27/21,food,credit
farmers market,7.3,07/27/21,food,credit
rent,1710.95,08/04/21,housing,debit
internet,62.2,08/02/21,utilities,credit
streaming,9.9,08/04/21,housing,credit
cell phone,63.99,08/13/21,utilities,credit
life insurance,69.78,08/11/21,insurance,debit
life insurance,95,08/04/21,insurance,debit
home insurance,20.34,08/18/21,insurance,credit
subscription,24.99,08/04/21,healthcare,credit
energy,48.54,08/29/21,utilities,credit
groceries,11.88,08/01/21,food,credit
restaurant,29.55,08/01/21,recreation,credit
groceries,118.8,08/02/21,food,credit
farmers market,5.13,08/03/21,food,credit
bike maintenance,177.53,08/05/21,transportation,credit
restaurant,25.01,08/06/21,recreation,credit
restaurant,91.63,08/09/21,recreation,credit
parking,1.1,08/07/21,transportation,credit
groceries,52.85,08/10/21,food,credit
groceries,12.47,08/14/21,food,credit
restaurant,18.93,08/15/21,recreation,credit
restaurant,17.25,08/15/21,recreation,credit
retailer,77.24,08/15/21,personal,credit
groceries,65.08,08/16/21,food,credit
restaurant,55.85,08/18/21,recreation,credit
groceries,18.58,08/18/21,food,credit
retailer,171.99,08/20/21,personal,credit
restaurant,90.06,08/20/21,recreation,credit
groceries,73.05,08/23/21,food,credit
groceries,15.7,08/23/21,food,credit
groceries,77.55,08/24/21,food,credit
restaurant,88.32,08/24/21,housing,credit
groceries,20.41,08/24/21,food,credit
groceries,53.86,08/25/21,food,credit
groceries,9.28,08/27/21,food,credit
groceries,181.12,08/31/21,food,credit
restaurant,100.27,08/27/21,personal,credit
rent,1710.95,09/04/21,housing,debit
internet,62.2,09/02/21,utilities,credit
streaming,9.9,09/04/21,housing,credit
cell phone,60.38,09/13/21,utilities,credit
life insurance,69.78,09/11/21,insurance,debit
life insurance,95,09/04/21,insurance,debit
home insurance,20.34,09/18/21,insurance,credit
subscription,24.99,09/04/21,healthcare,credit
energy,48.11,09/30/21,utilities,credit
groceries,28.93,09/03/21,food,credit
retailer,35.5,09/04/21,housing,credit
groceries,54.88,09/05/21,food,credit
groceries,17.13,09/05/21,food,credit
retailer,142.89,09/06/21,personal,credit
trip expenses,329.81,09/07/21,vacations,credit
groceries,71,09/08/21,food,credit
mail,15.5,09/09/21,personal,credit
groceries,176.24,09/11/21,food,credit
restaurant,37.08,09/12/21,recreation,credit
restaurant,34.17,09/12/21,recreation,credit
groceries,10.98,09/12/21,food,credit
groceries,22.94,09/14/21,food,credit
retailer,126.79,09/16/21,personal,credit
groceries,9.43,09/17/21,food,credit
restaurant,13.63,09/18/21,recreation,credit
retailer,47.36,09/19/21,housing,credit
groceries,91.07,09/19/21,food,credit
retailer,8.49,09/23/21,personal,credit
groceries,169.9,09/24/21,food,credit
retailer,218.4,09/27/21,personal,credit
retailer,25,09/27/21,gifts,credit
groceries,8.05,09/27/21,food,credit
retailer,48.6,09/28/21,personal,credit
retailer,22.04,09/28/21,housing,credit
groceries,10,09/28/21,food,credit
trip expenses,29,09/28/21,vacations,credit
groceries,4.58,09/29/21,food,credit
rent,1710.95,10/04/21,housing,debit
internet,62.2,10/02/21,utilities,credit
streaming,9.99,10/04/21,housing,credit
cell phone,61.12,10/13/21,utilities,credit
life insurance,69.78,10/11/21,insurance,debit
life insurance,95,10/04/21,insurance,debit
home insurance,20.34,10/18/21,insurance,credit
subscription,24.99,10/04/21,healthcare,credit
energy,34.19,10/29/21,utilities,debit
groceries,8.45,10/02/21,food,credit
groceries,244.8,10/02/21,housing,credit
retailer,46.28,10/02/21,personal,credit
groceries,24.15,10/03/21,food,credit
trip expenses,452,10/04/21,vacations,credit
retailer,8.99,10/04/21,personal,credit
groceries,102.99,10/04/21,food,credit
retailer,16.01,10/05/21,personal,credit
groceries,24.49,10/05/21,food,credit
restaurant,8,10/06/21,recreation,credit
groceries,106.06,10/09/21,food,credit
retailer,127.13,10/10/21,housing,credit
trip expenses,405.43,10/10/21,vacations,credit
cash transfer,225,10/14/21,housing,debit
groceries,29.28,10/18/21,food,credit
groceries,160.35,10/23/21,food,credit
groceries,37.41,10/29/21,food,credit
groceries,42.02,10/29/21,food,credit
groceries,129.39,10/30/21,food,credit
rent,1710.95,11/04/21,housing,debit
internet,62.2,11/02/21,utilities,credit
streaming,9.99,11/04/21,housing,credit
cell phone,75.23,11/13/21,utilities,credit
life insurance,69.78,11/11/21,insurance,debit
life insurance,95,11/04/21,insurance,debit
home insurance,20.34,11/18/21,insurance,credit
subscription,24.99,11/04/21,healthcare,credit
energy,45.27,11/29/21,utilities,debit
