concept,amount,date,category,mode
fitness,24.99,02/04/23,healthcare,credit
fitness,64,02/01/23,healthcare,credit
energy,91.62,02/27/23,utilities,debit
trip expenses,651.58,02/01/23,vacations,credit
subscription,525,02/02/23,recreation,credit
services,72.49,02/02/23,recreation,credit
Odin,84.33,02/02/23,recreation,credit
tolls,25,02/02/23,transportation,credit
groceries,159.52,02/04/23,food,credit
gas station,50,02/04/23,transportation,credit
retailer,110.83,02/05/23,personal,credit
restaurant,40,02/05/23,recreation,credit
restaurant,42.7,02/05/23,recreation,credit
retailer,23.15,02/06/23,personal,credit
retailer,15,02/06/23,personal,credit
retailer,132.41,02/07/23,personal,credit
trip expenses,524.01,02/08/23,personal,credit
restaurant,16.54,02/10/23,recreation,credit
restaurant,6.6,02/10/23,recreation,credit
groceries,198.86,02/11/23,food,credit
groceries,83.57,02/11/23,food,credit
groceries,67.56,02/16/23,food,credit
pharmacy,18.63,02/17/23,healthcare,credit
groceries,124.4,02/18/23,food,credit
retailer,118.24,02/20/22,personal,credit
public transit,10,02/21/22,transportation,credit
groceries,57.86,02/21/22,food,credit
groceries,25.28,02/23/22,food,credit
services,4,02/23/22,personal,credit
groceries,12.5,02/24/22,food,credit
groceries,184.09,02/25/23,food,credit
gas station,47.06,02/25/23,transportation,credit
retailer,11.03,02/25/23,personal,credit
groceries,15.95,02/27/23,food,credit
retailer,17.66,02/27/23,gifts,credit
retailer,30.38,02/27/23,gifts,credit
rent,1825.75,03/02/23,housing,debit
internet,73.8,03/02/23,utilities,credit
streaming,9.99,03/04/23,recreation,credit
cell phone,99.43,03/13/23,utilities,credit
life insurance,69.78,03/11/23,insurance,debit
life insurance,95,03/04/23,insurance,debit
home insurance,20.26,03/18/23,insurance,credit
fitness,24.99,03/04/23,healthcare,credit
fitness,64,03/01/23,healthcare,credit
energy,44.66,03/27/23,utilities,debit
public transit,10,03/01/23,transportation,credit
cash transfer,2050,03/03/23,gifts,debit
car maintenance,144.29,03/05/23,transportation,credit
trip expenses,224.39,03/05/23,recreation,credit
retailer,47.19,03/05/23,housing,credit
trip expenses,777.83,03/05/23,vacations,credit
groceries,7.5,03/08/23,food,credit
groceries,83.32,03/08/23,food,credit
retailer,237.04,03/10/23,personal,credit
cash transfer,300,03/09/23,gifts,credit
groceries,25.74,03/10/23,food,credit
restaurant,65.47,03/10/23,food,credit
groceries,200.76,03/11/23,food,credit
groceries,29.88,03/11/23,food,credit
restaurant,40,03/12/23,recreation,credit
cash transfer,24,03/13/23,gifts,debit
public transit,10,03/13/23,transportation,credit
retailer,49.59,03/15/23,personal,credit
restaurant,26.93,03/16/23,recreation,credit
cell phone,7,03/17/23,utilities,credit
groceries,7.49,03/18/23,food,credit
retailer,39.87,03/18/23,recreation,credit
restaurant,23.13,03/19/23,recreation,credit
cash transfer,635.83,03/20/23,personal,debit
public transit,10,03/23/23,transportation,credit
retailer,6,03/22/23,personal,credit
public transit,20,03/23/23,gifts,credit
retailer,50.21,03/23/23,gifts,credit
retailer,24.4,03/23/23,personal,credit
public transit,10,03/24/23,transportation,credit
retailer,280,03/30/23,gifts,credit
entertainment,1169.9,03/25/23,vacations,credit
rent,1825.75,04/02/23,housing,debit
internet,73.8,04/02/23,utilities,credit
streaming,9.99,04/04/23,recreation,credit
cell phone,92.24,04/13/23,utilities,credit
life insurance,69.78,04/11/23,insurance,debit
life insurance,95,04/04/23,insurance,debit
home insurance,20.26,04/18/23,insurance,credit
fitness,24.99,04/04/23,healthcare,credit
fitness,64,04/04/23,healthcare,credit
energy,84.91,04/04/23,utilities,debit
groceries,228.32,04/02/23,food,credit
retailer,139.77,04/02/23,housing,credit
groceries,48.28,04/03/23,food,credit
public transit,10,04/04/23,transportation,credit
groceries,36.46,04/06/23,food,credit
groceries,117.66,04/08/23,food,credit
groceries,32.22,04/08/23,food,credit
retailer,132.41,04/11/23,personal,credit
retailer,114,04/13/23,personal,credit
public transit,40,04/12/23,gifts,credit
retailer,26.46,04/14/23,personal,credit
restaurant,163.22,04/14/23,recreation,credit
groceries,102.09,04/15/23,food,credit
retailer,592.23,04/15/23,housing,credit
cell phone,7,04/17/23,utilities,credit
public transit,10,04/18/23,transportation,credit
groceries,14.78,04/18/23,food,credit
groceries,40.96,04/18/23,food,credit
groceries,32.38,04/19/23,food,credit
parking fine,46,04/19/23,transportation,credit
groceries,53.4,04/20/23,food,credit
restaurant,8.55,04/20/23,recreation,credit
retailer,34.14,04/22/23,housing,credit
restaurant,15,04/22/23,food,credit
groceries,157.5,04/22/23,food,credit
trip expenses,645.39,04/23/23,vacations,credit
parking,2,04/24/23,transportation,credit
cash transfer,206,04/24/23,recreation,credit
cash transfer,100,04/28/23,personal,credit
retailer,24.8,04/28/23,housing,credit
groceries,112.16,04/29/23,food,credit
retailer,17.58,04/29/23,housing,credit
rent,1825.75,05/02/23,housing,debit
internet,73.8,05/02/23,utilities,credit
streaming,9.99,05/04/23,recreation,credit
cell phone,75.6,05/13/23,utilities,credit
life insurance,69.78,05/11/23,insurance,debit
life insurance,95,05/04/23,insurance,debit
home insurance,20.26,05/18/23,insurance,credit
fitness,24.99,05/04/23,healthcare,credit
fitness,64,05/04/23,healthcare,credit
energy,66.17,05/04/23,utilities,debit
restaurant,15.39,05/02/23,recreation,credit
restaurant,3.57,05/02/23,recreation,credit
parking permit,67,05/03/23,transportation,credit
retailer,66.46,05/03/23,gifts,credit
retailer,19.59,05/03/23,personal,credit
restaurant,6.19,05/03/23,recreation,credit
bike maintenance,11.91,05/04/23,transportation,credit
restaurant,19.86,05/04/23,recreation,credit
restaurant,30.16,05/04/23,recreation,credit
restaurant,29,05/04/23,recreation,credit
groceries,27.54,05/05/23,food,credit
groceries,81.34,05/06/23,food,credit
trip expenses,290.41,05/06/23,vacations,credit
entertainment,1323.28,05/08/23,vacations,credit
restaurant,55.12,05/08/23,recreation,credit
restaurant,37.78,05/08/23,recreation,credit
bike maintenance,170.5,05/09/23,transportation,credit
groceries,50.42,05/11/23,food,credit
car registration,168,05/11/23,transportation,credit
groceries,18.7,05/12/23,food,credit
groceries,171.37,05/13/23,food,credit
retailer,56.19,05/13/23,gifts,credit
retailer,144.87,05/13/23,personal,credit
restaurant,30.28,05/13/23,recreation,credit
restaurant,48.13,05/17/23,recreation,credit
retailer,373.27,05/17/23,personal,credit
restaurant,92.86,05/19/23,vacations,credit
restaurant,26,05/20/23,vacations,credit
parking meter,3.85,05/20/23,vacations,credit
pharmacy,3.05,05/20/23,vacations,credit
public transit,41.17,05/20/23,vacations,credit
gas station,37.24,05/21/23,vacations,credit
retailer,60,05/21/23,personal,credit
groceries,48.5,05/21/23,food,credit
groceries,100.53,05/22/23,food,credit
bike maintenance,129.36,05/22/23,transportation,credit
groceries,22.46,05/23/23,food,credit
groceries,10.02,05/24/23,food,credit
groceries,18.76,05/25/23,food,credit
restaurant,45,05/30/23,recreation,credit
cash transfer,18,05/30/23,recreation,credit
restaurant,19.93,05/30/23,recreation,credit
restaurant,27.88,05/30/23,recreation,credit
pharmacy,18.73,05/31/23,healthcare,credit
rent,1825.75,06/02/23,housing,debit
internet,84.59,06/02/23,utilities,credit
streaming,9.99,06/04/23,recreation,credit
cell phone,82.48,06/13/23,utilities,credit
life insurance,69.78,06/11/23,insurance,debit
life insurance,95,06/04/23,insurance,debit
home insurance,20.26,06/18/23,insurance,credit
fitness,64,06/04/23,healthcare,credit
energy,48.33,06/04/23,utilities,debit
retailer,209.48,06/02/23,personal,credit
entertainment,11.64,06/01/23,recreation,credit
restaurant,66.75,06/01/23,recreation,credit
retailer,30.38,06/03/23,gifts,credit
pharmacy,23.14,06/03/23,personal,credit
retailer,38.93,06/05/23,transportation,credit
restaurant,6.14,06/06/23,personal,credit
groceries,92.94,06/06/23,food,credit
restaurant,11.5,06/08/23,personal,credit
pharmacy,27.55,06/08/23,gifts,credit
trip expenses,35,06/09/23,vacations,credit
restaurant,8,06/09/23,vacations,credit
public transit,20.29,06/09/23,vacations,credit
groceries,11.36,06/10/23,food,credit
groceries,36.32,06/16/23,vacations,credit
groceries,170.93,06/16/23,food,credit
restaurant,7.35,06/17/23,food,credit
groceries,274.55,06/18/23,vacations,credit
groceries,197.29,06/20/23,vacations,credit
restaurant,113.76,06/24/23,vacations,credit
groceries,141.51,06/27/23,food,credit
rent,1825.75,07/02/23,housing,debit
internet,84.59,07/02/23,utilities,credit
streaming,9.99,07/04/23,recreation,credit
cell phone,81.24,07/13/23,utilities,credit
life insurance,69.78,07/11/23,insurance,debit
life insurance,95,07/04/23,insurance,debit
home insurance,20.26,07/18/23,insurance,credit
fitness,64,07/04/23,healthcare,credit
energy,36.23,07/04/23,utilities,debit
public transit,11.44,07/02/23,vacations,credit
pharmacy,5.05,07/02/23,vacations,credit
restaurant,17.55,07/02/23,vacations,credit
groceries,149.24,07/03/23,food,credit
retailer,44.77,07/03/23,personal,credit
retailer,148.84,07/04/23,personal,credit
groceries,24.91,07/05/23,food,credit
groceries,70.15,07/05/23,food,credit
retailer,108.06,07/06/23,personal,credit
retailer,118.47,07/06/23,personal,credit
retailer,67.21,07/06/23,gifts,credit
retailer,35.27,07/06/23,personal,credit
retailer,121.28,07/06/23,personal,credit
retailer,153.24,07/07/23,housing,credit
groceries,114.06,07/08/23,food,credit
groceries,37.67,07/08/23,food,credit
groceries,37.3,07/08/23,housing,credit
restaurant,93.83,07/08/23,recreation,credit
restaurant,54.75,07/09/23,recreation,credit
pharmacy,13.58,07/09/23,healthcare,credit
car insurance,517.28,07/09/23,insurance,credit
retailer,59.12,07/10/23,personal,credit
restaurant,4.93,07/11/23,recreation,credit
retailer,260.8,07/12/23,personal,credit
retailer,88.14,07/12/23,personal,credit
trip expenses,501.43,07/12/23,personal,credit
retailer,25.98,07/12/23,gifts,credit
retailer,30.98,07/13/23,gifts,credit
groceries,94.16,07/13/23,food,credit
groceries,125.58,07/15/23,food,credit
restaurant,31.38,07/15/23,recreation,credit
parking,3.1,07/15/23,recreation,credit
retailer,121.28,07/15/23,personal,credit
retailer,15.44,07/15/23,gifts,credit
retailer,30.83,07/15/23,personal,credit
restaurant,18.77,07/16/23,recreation,credit
retailer,266.81,07/17/23,personal,credit
streaming,8.26,07/17/23,recreation,credit
bike maintenance,71.08,07/17/23,transportation,credit
entertainment,42,07/18/23,recreation,credit
groceries,68.14,07/19/23,food,credit
groceries,80,07/22/23,food,credit
retailer,122.37,07/22/23,gifts,credit
public transit,20,07/20/23,transportation,credit
trip expenses,733.42,07/23/23,vacations,credit
streaming,20,07/23/23,recreation,credit
groceries,38.81,07/24/23,food,credit
retailer,74.36,07/24/23,personal,credit
retailer,34,07/27/23,personal,credit
public transit,22.26,07/27/23,vacations,credit
restaurant,38.59,07/30/23,recreation,credit
restaurant,69.94,07/30/23,recreation,credit
rent,1825.75,08/02/23,housing,debit
internet,84.59,08/02/23,utilities,credit
streaming,10.99,08/04/23,recreation,credit
cell phone,80,08/13/23,utilities,credit
life insurance,69.78,08/11/23,insurance,debit
life insurance,95,08/04/23,insurance,debit
disability insurance,162.69,08/22/23,insurance,debit
home insurance,20.26,08/18/23,insurance,credit
fitness,64,08/04/23,healthcare,credit
energy,56.29,08/04/23,utilities,debit
streaming,8.26,08/17/23,personal,credit
pharmacy,24.53,08/01/23,vacations,credit
restaurant,15.56,08/02/23,vacations,credit
retailer,98.54,08/02/23,vacations,credit
retailer,85.57,08/04/23,vacations,credit
groceries,287.31,08/04/23,vacations,credit
restaurant,67.55,08/05/23,vacations,credit
public transit,6.05,08/07/23,vacations,credit
groceries,68.92,08/08/23,vacations,credit
retailer,143.44,08/08/23,personal,credit
gas station,26.37,08/09/23,vacations,credit
pharmacy,3.25,08/10/23,vacations,credit
restaurant,215.92,08/10/23,vacations,credit
groceries,98.52,08/12/23,food,credit
groceries,22.95,08/12/23,vacations,credit
restaurant,174.35,08/13/23,recreation,credit
restaurant,30.74,08/13/23,vacations,credit
retailer,487.43,08/14/23,healthcare,credit
cash transfer,200,08/14/23,personal,debit
groceries,11.33,08/16/23,food,credit
entertainment,11.27,08/16/23,gifts,credit
public transit,16.79,08/21/23,vacations,credit
groceries,112.24,08/21/23,food,credit
restaurant,23.84,08/21/23,recreation,credit
fitness,75,08/22/23,healthcare,credit
public transit,11.55,08/23/23,transportation,credit
retailer,24.87,08/24/23,personal,credit
public transit,4.77,08/25/23,transportation,credit
public transit,20,08/25/23,transportation,credit
groceries,131.68,08/26/23,food,credit
retailer,367.34,08/26/23,recreation,credit
trip expenses,432.67,08/26/23,gifts,credit
pharmacy,46.14,08/26/23,healthcare,credit
restaurant,42.64,08/26/23,recreation,credit
retailer,90,08/26/23,personal,credit
restaurant,41.2,08/29/23,recreation,credit
restaurant,75.35,08/31/23,recreation,credit
groceries,66.32,08/30/23,food,credit
groceries,65.06,08/31/23,food,credit
rent,1825.75,09/02/23,housing,debit
internet,84.61,09/02/23,utilities,credit
streaming,10.99,09/04/23,recreation,credit
cell phone,100.86,09/13/23,utilities,credit
life insurance,162.46,09/11/23,insurance,debit
life insurance,95,09/04/23,insurance,debit
disability insurance,162.69,09/20/23,insurance,debit
home insurance,20.26,09/18/23,insurance,credit
fitness,64,09/04/23,healthcare,credit
energy,25.05,09/04/23,utilities,debit
retailer,8.26,09/17/23,personal,credit
fitness,24.8,09/02/23,healthcare,credit
retailer,126.39,09/01/23,personal,credit
restaurant,65.59,09/02/23,recreation,credit
retailer,142.22,09/05/23,housing,credit
restaurant,25.35,09/05/23,food,credit
groceries,85.23,09/06/23,food,credit
public transit,10,09/07/23,transportation,credit
groceries,215.43,09/09/23,food,credit
gas station,51.18,09/09/23,transportation,credit
retailer,441.29,09/09/23,personal,credit
restaurant,85.39,09/12/23,recreation,credit
retailer,77.16,09/12/23,personal,credit
retailer,8.04,09/12/23,personal,credit
public transit,10,09/12/23,transportation,credit
restaurant,44.39,09/12/23,recreation,credit
restaurant,20.5,09/13/23,recreation,credit
restaurant,21.56,09/15/23,gifts,credit
groceries,68.16,09/15/23,food,credit
restaurant,74.24,09/15/23,gifts,credit
groceries,169.71,09/16/23,food,credit
groceries,36.36,09/16/23,food,credit
retailer,130,09/16/23,personal,credit
restaurant,8.75,09/16/23,recreation,credit
restaurant,32.01,09/19/23,recreation,credit
restaurant,4.67,09/19/23,recreation,credit
groceries,13,09/19/23,food,credit
groceries,26,09/19/23,food,credit
retailer,11.49,09/19/23,personal,credit
groceries,23.83,09/19/23,food,credit
groceries,24.98,09/20/23,food,credit
restaurant,184.32,09/20/23,recreation,credit
restaurant,18.74,09/21/23,recreation,credit
groceries,191.27,09/22/23,food,credit
restaurant,70,09/23/23,recreation,credit
restaurant,29.77,09/23/23,recreation,credit
parking,8.35,09/23/23,transportation,credit
retailer,194.06,09/23/23,personal,credit
gas station,32.95,09/24/23,transportation,credit
restaurant,14.04,09/24/23,recreation,credit
entertainment,45.25,09/26/23,gifts,credit
cash transfer,62,09/28/23,personal,debit
rent,1825.75,10/02/23,housing,debit
internet,84.61,10/02/23,utilities,credit
streaming,10.99,10/04/23,recreation,credit
cell phone,114.64,10/13/23,utilities,credit
life insurance,162.46,10/11/23,insurance,debit
life insurance,95,10/04/23,insurance,debit
disability insurance,162.69,10/20/23,insurance,debit
home insurance,20.26,10/18/23,insurance,credit
fitness,64,10/04/23,healthcare,credit
streaming,8.26,10/17/23,personal,credit
trip expenses,1132.88,10/02/23,recreation,credit
restaurant,5.07,10/03/23,recreation,credit
restaurant,15,10/03/23,food,credit
restaurant,15.38,10/06/23,food,credit
groceries,59.97,10/06/23,food,credit
retailer,30.08,10/07/23,housing,credit
groceries,203.53,10/07/23,food,credit
gas station,35.24,10/07/23,transportation,credit
subscription,96.48,10/08/23,personal,credit
retailer,185.25,10/10/23,personal,credit
cash transfer,353.78,10/12/23,gifts,credit
restaurant,43,10/13/23,recreation,credit
restaurant,28.67,10/14/23,recreation,credit
groceries,190.3,10/14/23,food,credit
subscription,105.48,10/16/23,personal,credit
restaurant,12.5,10/17/23,food,credit
groceries,78.67,10/18/23,food,credit
retailer,41.14,10/19/23,personal,credit
groceries,109.64,10/21/23,food,credit
groceries,18,10/24/23,food,credit
retailer,35,10/25/23,personal,credit
groceries,19.86,10/26/23,food,debit
groceries,135.46,10/28/23,food,credit
retailer,41.82,10/29/23,personal,credit
rent,1825.75,11/02/23,housing,debit
internet,84.61,11/02/23,utilities,credit
streaming,10.99,11/04/23,recreation,credit
cell phone,103.64,11/13/23,utilities,credit
life insurance,162.46,11/11/23,insurance,debit
life insurance,95,11/04/23,insurance,debit
disability insurance,162.69,11/20/23,insurance,debit
home insurance,20.26,11/18/23,insurance,credit
fitness,64,11/04/23,healthcare,credit
energy,61.33,11/28/23,utilities,debit
streaming,8.26,11/17/23,personal,credit
restaurant,9.74,11/01/23,recreation,credit
public transit,17.58,11/01/23,recreation,credit
restaurant,8.68,11/03/23,recreation,credit
public transit,11.13,11/03/23,recreation,credit
groceries,35.97,11/04/23,food,credit
restaurant,168.23,11/04/23,recreation,credit
subscription,48,11/05/23,personal,credit
groceries,144.95,11/05/23,food,credit
retailer,102.87,11/06/23,personal,credit
retailer,62.78,11/06/23,personal,credit
restaurant,16.57,11/07/23,recreation,credit
retailer,7.71,11/07/23,personal,credit
groceries,74.92,11/08/23,food,credit
restaurant,56.18,11/09/23,personal,credit
groceries,192.35,11/10/23,gifts,credit
retailer,26.45,11/10/23,food,credit
restaurant,4.71,11/11/23,recreation,credit
retailer,130,11/11/23,personal,credit
retailer,10.91,11/11/23,personal,credit
groceries,105.53,11/12/23,food,credit
cash transfer,183,11/15/23,recreation,credit
retailer,9,11/16/23,recreation,credit
restaurant,94.44,11/16/23,recreation,credit
groceries,112.02,11/18/23,food,credit
retailer,87.12,11/18/23,gifts,credit
retailer,47.95,11/18/23,gifts,credit
groceries,170.72,11/20/23,food,credit
retailer,20.16,11/21/23,gifts,credit
retailer,19.23,11/21/23,recreation,credit
parking,4.35,11/22/23,transportation,credit
retailer,154.35,11/23/23,personal,credit
parking fine,43,11/24/23,transportation,credit
groceries,88.5,11/25/23,food,credit
retailer,331,11/25/23,gifts,credit
retailer,18.73,11/26/23,personal,credit
retailer,57.79,11/26/23,personal,credit
cash transfer,62,11/27/23,recreation,debit
fitness,100,11/27/23,healthcare,credit
groceries,54.26,11/30/23,food,credit
retailer,116.86,11/30/23,personal,credit
rent,1825.75,12/02/23,housing,debit
internet,84.61,12/02/23,utilities,credit
streaming,10.99,12/04/23,recreation,credit
cell phone,103.64,12/13/23,utilities,credit
life insurance,162.46,12/11/23,insurance,debit
life insurance,95,12/04/23,insurance,debit
disability insurance,162.69,12/20/23,insurance,debit
home insurance,20.26,12/18/23,insurance,credit
fitness,64,12/04/23,healthcare,credit
energy,75.4,12/04/23,utilities,debit
retailer,8.26,12/17/23,personal,credit
retailer,100.3,12/01/23,personal,credit
groceries,95.33,12/02/23,food,credit
retailer,222.72,12/03/23,gifts,credit
retailer,90.8,12/03/23,personal,credit
restaurant,13.5,12/03/23,recreation,credit
retailer,407.2,12/04/23,housing,credit
retailer,67.06,12/04/23,personal,credit
cash transfer,247,12/04/23,personal,debit
parking,1.75,12/06/23,transportation,credit
retailer,44.1,12/06/23,personal,credit
retailer,15,12/06/23,housing,credit
restaurant,18,12/06/23,recreation,credit
restaurant,21.17,12/06/23,gifts,credit
cash transfer,305,12/06/23,gifts,debit
restaurant,48.94,12/07/23,gifts,credit
public transit,23.69,12/08/23,vacations,credit
retailer,66.11,12/11/23,healthcare,credit
restaurant,55,12/14/23,gifts,credit
entertainment,301.54,12/16/23,gifts,credit
entertainment,197.2,12/16/23,gifts,credit
retailer,29.07,12/17/23,gifts,credit
restaurant,4.43,12/19/23,recreation,credit
groceries,563.45,12/19/23,food,credit
fitness,58.62,12/20/23,healthcare,credit
groceries,32.3,12/20/23,gifts,credit
entertainment,3.52,12/20/23,gifts,credit
public transit,23.47,12/20/23,transportation,credit
restaurant,24.85,12/21/23,recreation,credit
groceries,59.73,12/22/23,food,credit
subscription,35.88,12/24/23,personal,credit
fitness,35.1,12/26/23,healthcare,credit
restaurant,99.43,12/27/23,recreation,credit
retailer,147.19,12/28/23,personal,credit
retailer,95.92,12/28/23,personal,credit
retailer,82.78,12/28/23,personal,credit
groceries,128.3,12/28/23,food,credit
restaurant,20.47,12/28/23,recreation,credit
restaurant,46.29,12/28/23,recreation,credit
restaurant,58.2,12/29/23,gifts,credit
restaurant,14.21,12/30/23,recreation,credit
public transit,1.18,12/30/23,transportation,credit
gas station,46.34,12/31/23,transportation,credit